SampleID,Absorbance
TA_T0_Sediment3_R4,0.1208
TA_T0_Sediment4_R1,0.1228
TA_T0_Sediment4_R2,0.1218
TA_T0_Sediment4_R3,0.1316
TA_T0_Sediment4_R4,0.1235
TA_T0_Sediment5_R1,0.116
TA_T0_Sediment5_R2,0.1173
TA_T0_Sediment5_R3,0.1156
TA_T0_Sediment5_R4,0.1132
TA_T0_Sediment6_R1,0.1144
TA_T0_Sediment6_R2,0.1091
TA_T0_Sediment6_R3,0.1088
TA_T0_Sediment6_R4,0.1098
TA_T1_Compost_R1,0.162438224
TA_T1_Compost_R2,0.129255394
TA_T1_Compost_R3,0.184832634
TA_T1_Compost_R4,0.126888628
TA_T1_Sediment1_R1,0.300413312
TA_T1_Sediment1_R2,0.115594034
TA_T1_Sediment1_R3,0.23890197
TA_T1_Sediment1_R4,0.178282173
TA_T1_Sediment2_R1,0.207657159
TA_T1_Sediment2_R2,0.117213621
TA_T1_Sediment2_R3,0.244200952
TA_T1_Sediment2_R4,0.196490358
TA_T1_Sediment3_R1,0.127605917
TA_T1_Sediment3_R2,0.187761573
TA_T1_Sediment3_R3,0.198649035
TA_T1_Sediment3_R4,0.156818015
TA_T1_Sediment4_R1,0.266399171
TA_T1_Sediment4_R2,0.161154775
TA_T1_Sediment4_R3,0.328573908
TA_T1_Sediment4_R4,0.158302722
TA_T1_Sediment5_R1,0.217438574
TA_T1_Sediment5_R2,0.170431726
TA_T1_Sediment5_R3,0.257257289
TA_T1_Sediment5_R4,0.270035982
TA_T1_Sediment6_R1,0.312460418
TA_T1_Sediment6_R2,0.161308469
TA_T1_Sediment6_R3,0.240821662
TA_T1_Sediment6_R4,0.199792441
TA_T2_Compost_R1,0.344271264
TA_T2_Compost_R2,0.228841915
TA_T2_Compost_R3,0.195633001
TA_T2_Compost_R4,0.235904897
TA_T2_Sediment1_R1,0.123272534
TA_T2_Sediment1_R2,0.332405306
TA_T2_Sediment1_R3,0.236232287
TA_T2_Sediment1_R4,0.1415419
TA_T2_Sediment2_R1,0.28632187
TA_T2_Sediment2_R2,0.142287848
TA_T2_Sediment2_R3,0.164352094
TA_T2_Sediment2_R4,0.210136192
TA_T2_Sediment3_R1,0.199890213
TA_T2_Sediment3_R2,0.182969815
TA_T2_Sediment3_R3,0.206894858
TA_T2_Sediment3_R4,0.215839141
TA_T2_Sediment4_R1,0.151294252
TA_T2_Sediment4_R2,0.146481222
TA_T2_Sediment4_R3,0.214260501
TA_T2_Sediment4_R4,0.340223602
TA_T2_Sediment5_R1,0.755423473
TA_T2_Sediment5_R2,0.19133732
TA_T2_Sediment5_R3,0.246101196
TA_T2_Sediment5_R4,0.191854326
TA_T2_Sediment6_R1,0.202055346
TA_T2_Sediment6_R2,0.316636544
TA_T2_Sediment6_R3,0.232532701
TA_T2_Sediment6_R4,0.143244695
TA_T3_Compost_R1,0.3718068
TA_T3_Compost_R2,0.161445398
TA_T3_Compost_R3,0.201729656
TA_T3_Compost_R4,0.370183587
TA_T3_Sediment1_R1,0.204337396
TA_T3_Sediment1_R2,0.117397024
TA_T3_Sediment1_R3,0.126636858
TA_T3_Sediment1_R4,0.26650091
TA_T3_Sediment2_R1,0.213832682
TA_T3_Sediment2_R2,0.119908414
TA_T3_Sediment2_R3,0.177920793
TA_T3_Sediment2_R4,0.123077285
TA_T3_Sediment3_R1,0.218636715
TA_T3_Sediment3_R2,0.19788016
TA_T3_Sediment3_R3,0.175014496
TA_T3_Sediment3_R4,0.263129484
TA_T3_Sediment4_R1,0.165092266
TA_T3_Sediment4_R2,0.205768544
TA_T3_Sediment4_R3,0.184070095
TA_T3_Sediment4_R4,0.204507161
TA_T3_Sediment5_R1,0.178775109
TA_T3_Sediment5_R2,0.171715865
TA_T3_Sediment5_R3,0.450389827
TA_T3_Sediment5_R4,0.320741383
TA_T3_Sediment6_R1,0.352539373
TA_T3_Sediment6_R2,0.270140119
TA_T3_Sediment6_R3,0.187855396
TA_T3_Sediment6_R4,0.241932883
TA_T4_Compost_R1,0.155899611
TA_T4_Compost_R2,0.124143144
TA_T4_Compost_R3,0.209040322
TA_T4_Compost_R4,0.122844751
TA_T4_Sediment1_R1,0.277632964
TA_T4_Sediment1_R2,0.110877579
TA_T4_Sediment1_R3,0.236895669
TA_T4_Sediment1_R4,0.163821496
TA_T4_Sediment2_R1,0.206953552
TA_T4_Sediment2_R2,0.11225432
TA_T4_Sediment2_R3,0.242489923
TA_T4_Sediment2_R4,0.195797446
TA_T4_Sediment3_R1,0.126819293
TA_T4_Sediment3_R2,0.185107197
TA_T4_Sediment3_R3,0.194146726
TA_T4_Sediment3_R4,0.153210806
TA_T4_Sediment4_R1,0.265750287
TA_T4_Sediment4_R2,0.148699629
TA_T4_Sediment4_R3,0.321063958
TA_T4_Sediment4_R4,0.154838773
TA_T4_Sediment5_R1,0.211944067
TA_T4_Sediment5_R2,0.167563988
TA_T4_Sediment5_R3,0.246864651
TA_T4_Sediment5_R4,0.259762937
TA_T4_Sediment6_R1,0.299761987
TA_T4_Sediment6_R2,0.152650667
TA_T4_Sediment6_R3,0.235178245
TA_T4_Sediment6_R4,0.189743822
BPA_T0_Compost_R1,0.343420166
BPA_T0_Compost_R2,0.2232922
BPA_T0_Compost_R3,0.198962599
BPA_T0_Compost_R4,0.230054391
BPA_T0_Sediment1_R1,0.118875212
BPA_T0_Sediment1_R2,0.316667457
BPA_T0_Sediment1_R3,0.226669907
BPA_T0_Sediment1_R4,0.137842638
BPA_T0_Sediment2_R1,0.263348927
BPA_T0_Sediment2_R2,0.139679475
BPA_T0_Sediment2_R3,0.15786464
BPA_T0_Sediment2_R4,0.206579516
BPA_T0_Sediment3_R1,0.199817374
BPA_T0_Sediment3_R2,0.175166355
BPA_T0_Sediment3_R3,0.207891057
BPA_T0_Sediment3_R4,0.209849375
BPA_T0_Sediment4_R1,0.147345594
BPA_T0_Sediment4_R2,0.141840355
BPA_T0_Sediment4_R3,0.205338372
BPA_T0_Sediment4_R4,0.335646889
BPA_T0_Sediment5_R1,0.76766925
BPA_T0_Sediment5_R2,0.196237788
BPA_T0_Sediment5_R3,0.24416171
BPA_T0_Sediment5_R4,0.184572815
BPA_T0_Sediment6_R1,0.201001365
BPA_T0_Sediment6_R2,0.310167735
BPA_T0_Sediment6_R3,0.23133305
BPA_T0_Sediment6_R4,0.138622145
BPA_T1_Compost_R1,0.369253077
BPA_T1_Compost_R2,0.153479056
BPA_T1_Compost_R3,0.19968682
BPA_T1_Compost_R4,0.364836429
BPA_T1_Sediment1_R1,0.204493232
BPA_T1_Sediment1_R2,0.11455971
BPA_T1_Sediment1_R3,0.12734318
BPA_T1_Sediment1_R4,0.26732181
BPA_T1_Sediment2_R1,0.205345018
BPA_T1_Sediment2_R2,0.115203444
BPA_T1_Sediment2_R3,0.175531034
BPA_T1_Sediment2_R4,0.122631568
BPA_T1_Sediment3_R1,0.213989929
BPA_T1_Sediment3_R2,0.19234357
BPA_T1_Sediment3_R3,0.166419015
BPA_T1_Sediment3_R4,0.263448434
BPA_T1_Sediment4_R1,0.160707812
BPA_T1_Sediment4_R2,0.19403211
BPA_T1_Sediment4_R3,0.173874461
BPA_T1_Sediment4_R4,0.197417268
BPA_T1_Sediment5_R1,0.18039718
BPA_T1_Sediment5_R2,0.174380361
BPA_T1_Sediment5_R3,0.429363849
BPA_T1_Sediment5_R4,0.318440896
BPA_T1_Sediment6_R1,0.369409155
BPA_T1_Sediment6_R2,0.252451872
BPA_T1_Sediment6_R3,0.187803057
BPA_T1_Sediment6_R4,0.243369619
BPA_T2_Compost_R1,0.159136596
BPA_T2_Compost_R2,0.17020612
BPA_T2_Compost_R3,0.16983976
BPA_T2_Compost_R4,0.153566937
BPA_T2_Sediment1_R1,0.148946431
BPA_T2_Sediment1_R2,0.164646075
BPA_T2_Sediment1_R3,0.153282127
BPA_T2_Sediment1_R4,0.156330965
BPA_T2_Sediment2_R1,0.141693972
BPA_T2_Sediment2_R2,0.151884959
BPA_T2_Sediment2_R3,0.159739271
BPA_T2_Sediment2_R4,0.15383954
BPA_T2_Sediment3_R1,0.150570763
BPA_T2_Sediment3_R2,0.155745448
BPA_T2_Sediment3_R3,0.15590139
BPA_T2_Sediment3_R4,0.160837354
BPA_T2_Sediment4_R1,0.147676579
BPA_T2_Sediment4_R2,0.154307847
BPA_T2_Sediment4_R3,0.156671248
BPA_T2_Sediment4_R4,0.162476154
BPA_T2_Sediment5_R1,0.150532102
BPA_T2_Sediment5_R2,0.154174331
BPA_T2_Sediment5_R3,0.156677783
BPA_T2_Sediment5_R4,0.16089434
BPA_T2_Sediment6_R1,0.180128086
BPA_T2_Sediment6_R2,0.16691265
BPA_T2_Sediment6_R3,0.171299071
BPA_T2_Sediment6_R4,0.174844105
BPA_T3_Compost_R1,0.178991452
BPA_T3_Compost_R2,0.179441992
BPA_T3_Compost_R3,0.185041869
BPA_T3_Compost_R4,0.180747441
BPA_T3_Sediment1_R1,0.163428498
BPA_T3_Sediment1_R2,0.17023125
